date,fatality_rate,med_fatal,med_injury,med_no_injury,conf_ind_head-on,conf_ind_not-head-on,c_hour,fri_fatality_rate,mon_fatality_rate,sat_fatality_rate,sun_fatality_rate,thurs_fatality_rate,tues_fatality_rate,weds_fatality_rate,year,month
1999-01-01,0.012911113098965322,163.0,164.0,89.0,152.0,281.0,13.511337970909748,0.013242894056847546,0.01659840482862686,0.014843320505772403,0.01167728237791932,0.011014615547553484,0.008220502901353965,0.013806706114398421,1999,1
1999-02-01,0.018162634712487753,196.0,176.0,97.0,139.0,343.0,13.499923954372624,0.014508683227082875,0.0149812734082397,0.02273792780121894,0.03199760765550239,0.018028169014084508,0.010419522895530574,0.015851325498770157,1999,2
1999-03-01,0.02098187003463027,219.0,250.0,122.0,149.0,469.0,13.507758709279623,0.013767783386874713,0.017109874252731395,0.021550656428040625,0.02742749054224464,0.035514967021816335,0.022345081778392076,0.01319710515112814,1999,3
1999-04-01,0.015417649336477877,190.0,154.0,83.0,82.0,356.0,13.890339797189112,0.011209114296214627,0.012318029115341545,0.01988781234064253,0.020989074180563543,0.013578274760383386,0.016097147698390286,0.01641747288185283,1999,4
1999-05-01,0.017953270764634592,266.0,248.0,99.0,114.0,523.0,13.851641324428023,0.016170058139534885,0.02111324376199616,0.0227765726681128,0.02580019398642095,0.011567516525023608,0.016211604095563138,0.007870259957071309,1999,5
1999-06-01,0.017418779875232927,267.0,235.0,130.0,126.0,519.0,13.998990505293026,0.015353467184072886,0.014161220043572984,0.015925422412118858,0.03627827571489543,0.01878238341968912,0.009771447499171911,0.015304406323578877,1999,6
1999-07-01,0.01966089466089466,291.0,316.0,137.0,119.0,644.0,14.058745375918303,0.021964007368570213,0.018713701871370187,0.020933977455716585,0.027649769585253458,0.020149001015916018,0.013706793802145411,0.014187271990271585,1999,7
1999-08-01,0.018636235990911645,294.0,261.0,152.0,165.0,565.0,14.046635198225387,0.013561511139812722,0.017724510465901417,0.03007805063773082,0.026194144838212634,0.015378133558036656,0.011337868480725623,0.017140552530752168,1999,8
1999-09-01,0.021630661256716744,257.0,333.0,183.0,110.0,679.0,13.804861823322339,0.03931451612903226,0.014928909952606635,0.027151051625239005,0.030466369814858216,0.008027522935779817,0.022013949433304272,0.011568335812262435,1999,9
1999-10-01,0.01786649755989964,263.0,225.0,135.0,166.0,482.0,13.830274335050829,0.018365717327655046,0.017866390471258417,0.01923911471141328,0.02858893199918317,0.015621462531129726,0.010914382731021102,0.011155734047300312,1999,10
1999-11-01,0.018904730485670845,278.0,235.0,122.0,141.0,518.0,13.79458912037037,0.01766109785202864,0.019875292283710055,0.02285827867223216,0.02857943401513029,0.015880429705744978,0.013841421736158578,0.017123287671232876,1999,11
1999-12-01,0.020178294987455294,296.0,284.0,156.0,229.0,527.0,13.89400474444684,0.01854210898796886,0.02211457455770851,0.023352601156069363,0.023238380809595203,0.01255783212161269,0.015561843168957154,0.027582908163265307,1999,12
2000-01-01,0.015864562603357904,228.0,200.0,121.0,179.0,387.0,13.253121645290694,0.015292012363754676,0.01395519647447668,0.021258646870254767,0.021469859620148638,0.01430401366353544,0.009456838021338506,0.013321492007104795,2000,1
2000-02-01,0.014350924435979113,170.0,144.0,106.0,133.0,304.0,13.463813178089442,0.010544478527607362,0.01782437745740498,0.019612476370510397,0.018974794675729253,0.010443864229765013,0.010712814173877214,0.015212740670311385,2000,2
2000-03-01,0.015078993774067009,174.0,150.0,81.0,103.0,316.0,13.567054811912794,0.015321756894790603,0.01279441698168072,0.016332982086406742,0.024088541666666668,0.012872628726287264,0.011406844106463879,0.013937282229965157,2000,3
2000-04-01,0.015863392947357786,216.0,180.0,65.0,80.0,391.0,13.743322431180157,0.013879709187045605,0.006093845216331505,0.021845508563439357,0.01975540921919097,0.01807511737089202,0.013563829787234043,0.013164687661331956,2000,4
2000-05-01,0.01612231542625974,232.0,203.0,88.0,95.0,447.0,13.83886170564044,0.011516689439781378,0.019955654101995565,0.025727541121889498,0.019833824711873494,0.013058875608676405,0.007784317448262768,0.016682464454976304,2000,5
2000-06-01,0.015466860434940572,250.0,231.0,91.0,97.0,499.0,13.88602421002987,0.015890562387729724,0.012324691882702932,0.01606575751914814,0.021937445699391833,0.01412180052956752,0.01336525034909236,0.015151515151515152,2000,6
2000-07-01,0.01900164338537387,299.0,301.0,121.0,94.0,646.0,14.077661091663426,0.01730103806228374,0.028398268398268398,0.017640902975033637,0.024726581074655255,0.015445627217699855,0.0131521262604121,0.013271539919949442,2000,7
2000-08-01,0.01854697960353226,281.0,277.0,132.0,134.0,578.0,14.031326570939271,0.022525718339836822,0.016541353383458645,0.02398172820708032,0.018824076225888914,0.01726384364820847,0.01716265155093686,0.014228987425545996,2000,8
2000-09-01,0.01938209664642197,299.0,277.0,131.0,156.0,578.0,13.861872115666765,0.02262872628726287,0.012803532008830023,0.02338935574229692,0.01937046004842615,0.018404907975460124,0.022708333333333334,0.012404382881951623,2000,9
2000-10-01,0.017189981333407628,272.0,210.0,112.0,132.0,485.0,13.63248608221335,0.016568241469816274,0.016049646907768028,0.020172910662824207,0.022145857197403588,0.018105263157894735,0.014417744916820702,0.0123866401238664,2000,10
2000-11-01,0.015250482789957968,245.0,168.0,104.0,149.0,388.0,13.701737783895389,0.015588333892054978,0.016272848863129737,0.01747532894736842,0.01662125340599455,0.01644579275107776,0.011859476392929067,0.012559155442300692,2000,11
2000-12-01,0.016006802891228772,238.0,236.0,148.0,236.0,404.0,13.571041914350037,0.0160837375542507,0.015704387990762125,0.015456887407182906,0.016973125884016973,0.013736741436271953,0.013545347467608953,0.020671834625323,2000,12
2001-01-01,0.013033061811212266,168.0,140.0,85.0,127.0,281.0,13.602665031941665,0.01775376302585874,0.006212466349140609,0.01823092505064146,0.015054572826496047,0.012554321583775953,0.014300306435137897,0.008338181113050224,2001,1
2001-02-01,0.01495754408883083,183.0,154.0,107.0,128.0,330.0,13.254812913416922,0.02008310249307479,0.01422550052687039,0.016534114692339893,0.00861573808156232,0.015330188679245283,0.00915534554046072,0.016226240148354196,2001,2
2001-03-01,0.014957548421331918,172.0,184.0,79.0,96.0,355.0,13.503695775778453,0.011132370847103844,0.010869565217391304,0.02093114241001565,0.018688524590163933,0.017336324699163776,0.012575320932669635,0.013125512715340444,2001,3
2001-04-01,0.016213086276780544,171.0,199.0,68.0,60.0,388.0,13.76292504570384,0.029295512671471752,0.012996054769087955,0.018796992481203006,0.018368846436443792,0.009908168197196714,0.008445417578980294,0.012843488649940263,2001,4
2001-05-01,0.014830697757527026,226.0,153.0,99.0,67.0,431.0,13.906751346958432,0.01224105461393597,0.01717948717948718,0.01654331737048324,0.0222509702457956,0.014568546880836758,0.011109087597887451,0.012838238198696426,2001,5
2001-06-01,0.018086572925282603,273.0,270.0,105.0,91.0,565.0,13.900217342844405,0.02132668605456308,0.013591338401290025,0.024008674101610904,0.020608899297423888,0.015714285714285715,0.012738853503184714,0.014297908664105847,2001,6
2001-07-01,0.015964308750806278,247.0,218.0,108.0,83.0,511.0,14.113074493574384,0.011689874505758983,0.01745860331173506,0.018331616889804326,0.029241814043074767,0.00866062437059416,0.014551192145862552,0.010217391304347826,2001,7
2001-08-01,0.019885784213746687,305.0,325.0,130.0,177.0,603.0,14.025878099173553,0.02134846642345629,0.020575221238938055,0.020543924867931912,0.02738571729513377,0.019447445593455782,0.017765979170920973,0.013346515076618883,2001,8
2001-09-01,0.016900922652410107,252.0,208.0,117.0,123.0,465.0,13.732278885852184,0.017934877241859656,0.015360983102918587,0.02084907085662487,0.02104664391353811,0.01293103448275862,0.012919896640826873,0.013961605584642234,2001,9
2001-10-01,0.015918594926122107,235.0,201.0,124.0,98.0,473.0,13.673375179440988,0.01787424194063198,0.015580155801558016,0.015730337078651686,0.0254472159234064,0.013136288998357963,0.011359404096834265,0.014234875444839857,2001,10
2001-11-01,0.016740680144910598,251.0,171.0,135.0,115.0,458.0,13.815936818530087,0.014699821404039016,0.014127921911122528,0.020553691275167787,0.012048192771084338,0.015790330457431223,0.02259626469910076,0.017809867629362215,2001,11
2001-12-01,0.018005144326950558,275.0,273.0,118.0,241.0,452.0,13.894445899921404,0.014752040175768989,0.016427459795953656,0.02203469292076887,0.02693467336683417,0.014691852699866437,0.014005602240896359,0.016927322907083715,2001,12
2002-01-01,0.015357745121657431,201.0,203.0,89.0,186.0,324.0,13.554481038834655,0.018533944189920867,0.01127141568981064,0.019848076451850036,0.018192488262910797,0.011365508153516718,0.014351205899940203,0.01614100185528757,2002,1
2002-02-01,0.01573241218919936,189.0,160.0,90.0,189.0,271.0,13.568449400959846,0.017572207634821247,0.012627489072365225,0.018693857732459334,0.014058679706601468,0.016553975285614364,0.016687116564417178,0.013369589848175845,2002,2
2002-03-01,0.013526218421132441,183.0,165.0,90.0,134.0,312.0,13.55850754491751,0.017818841775284606,0.015593561368209255,0.016276517922457937,0.01366120218579235,0.0137524557956778,0.008372935053179452,0.00662414131501472,2002,3
2002-04-01,0.015022461814914645,181.0,167.0,60.0,114.0,304.0,13.734586302166642,0.015474794841735053,0.010250569476082005,0.018573551263001486,0.027283874923359902,0.013097949886104784,0.010945890128046263,0.012514220705346985,2002,4
2002-05-01,0.016219359182299477,226.0,204.0,80.0,81.0,449.0,13.896779776253167,0.014261616316515872,0.014767344664251881,0.024199124222171006,0.02262443438914027,0.01704966641957005,0.009126788357178096,0.01295594977077935,2002,5
2002-06-01,0.01676906978616082,245.0,221.0,147.0,111.0,514.0,13.890445859872612,0.017707509881422924,0.011583011583011582,0.029411764705882353,0.018471104608632043,0.010452961672473868,0.015444015444015444,0.00954554886905997,2002,6
2002-07-01,0.018384056851537153,297.0,282.0,114.0,130.0,584.0,14.148911231506563,0.013748550604604936,0.01885544161429044,0.02410358565737052,0.027752081406105456,0.021521906225980016,0.012178845512178845,0.014646708514405278,2002,7
2002-08-01,0.018368355995055624,319.0,254.0,143.0,105.0,638.0,14.011920861507638,0.01870770863738888,0.015505478602439528,0.024449506454062263,0.026986825329366766,0.012123048946810122,0.012360211889346674,0.01888276947285602,2002,8
2002-09-01,0.018106415851245495,264.0,218.0,171.0,124.0,544.0,13.67179149880786,0.01645141451414514,0.017514440096888392,0.018467220683287166,0.02378255945639864,0.02615321252059308,0.010455876202425763,0.01370743199828657,2002,9
2002-10-01,0.017835483515271804,276.0,230.0,124.0,151.0,496.0,13.616646703250787,0.020397842211732974,0.01472007722007722,0.027906150017774616,0.03284199637962244,0.012421273617914626,0.0067292367628829465,0.01347557551937114,2002,10
2002-11-01,0.016516185862144903,242.0,211.0,122.0,173.0,427.0,13.637529137529137,0.019098548510313215,0.011689961880559084,0.017488532110091742,0.021318304337172262,0.01867754401030485,0.014013046629620681,0.010672358591248666,2002,11
2002-12-01,0.02060472092839662,298.0,314.0,144.0,270.0,513.0,13.673208871868518,0.026677852348993288,0.013309134906231096,0.018518518518518517,0.03112118713932399,0.022203602848764138,0.01597031779319245,0.01897133220910624,2002,12
2003-01-01,0.01381674897014047,217.0,200.0,107.0,154.0,386.0,13.333651514369743,0.01161140498000258,0.013474667624865252,0.011159737417943107,0.01910828025477707,0.014307692307692308,0.011547774259638667,0.01749475157452764,2003,1
2003-02-01,0.011025323292981285,134.0,117.0,81.0,92.0,255.0,13.284155628079606,0.008953553441522105,0.010223490252020923,0.015491692860350247,0.013529765484064944,0.01041264944080216,0.008395734059450873,0.011260763965555311,2003,2
2003-03-01,0.016433772879354457,167.0,210.0,106.0,192.0,309.0,13.377364730784496,0.009159964253798034,0.011715797430083144,0.016477637491975176,0.023118957545187054,0.019402202412165705,0.010802052389954091,0.025749933634191664,2003,3
2003-04-01,0.016108488798981045,197.0,142.0,80.0,105.0,325.0,13.634750028384362,0.009569377990430622,0.01824930405196412,0.023178807947019868,0.02441438469152095,0.016878732796676187,0.011295681063122924,0.012340036563071298,2003,4
2003-05-01,0.016225289071242075,235.0,197.0,70.0,114.0,408.0,13.979548104496896,0.016899097621000822,0.012004175365344467,0.02062031356509884,0.016240681576144837,0.01251684960523782,0.01241087932400317,0.0217092607859302,2003,5
2003-06-01,0.016799955570365434,238.0,235.0,116.0,82.0,523.0,14.027248491651466,0.019176254794063697,0.011494252873563218,0.02251552795031056,0.018219319353729804,0.019405450041288193,0.013427734375,0.012109623964308477,2003,6
2003-07-01,0.02202835332606325,295.0,355.0,145.0,119.0,689.0,14.13791866688738,0.023146405720737673,0.01282051282051282,0.022884736510602563,0.030032095369096744,0.018554062699936022,0.031083633865704962,0.01600143833153542,2003,7
2003-08-01,0.020666213460231134,300.0,288.0,137.0,124.0,636.0,14.016518914156709,0.018321069229614056,0.016216216216216217,0.026755310523755474,0.026555246053853298,0.01947009233239663,0.01998262380538662,0.015204936095196122,2003,8
2003-09-01,0.01752095843123604,248.0,187.0,160.0,182.0,422.0,13.782107332531323,0.01863900123087744,0.01637801204819277,0.022731844699255682,0.02923411452041556,0.013131084446456871,0.011424614851999308,0.012715930902111325,2003,9
2003-10-01,0.01766074146397496,271.0,232.0,98.0,133.0,482.0,13.773318620048785,0.020147961592948214,0.01350337584396099,0.02306201550387597,0.01488174328992825,0.01733677609738104,0.019995556542990445,0.013155555555555556,2003,10
2003-11-01,0.016429709161701375,238.0,173.0,125.0,166.0,391.0,13.717606786724215,0.014344262295081968,0.019644527595884004,0.012996014555536303,0.013910702266098272,0.019328802039082413,0.022345132743362833,0.013908205841446454,2003,11
