date,fatality_rate,med_fatal,med_injury,med_no_injury,not-head-on,head-on,year,month,summer_ind
1999-01-01,0.013066741762883695,85.0,99.0,48.0,108.0,124.0,1999,1,0
1999-02-01,0.017569856054191365,101.0,108.0,40.0,93.0,156.0,1999,2,0
1999-03-01,0.021727431723395668,105.0,170.0,48.0,96.0,227.0,1999,3,0
1999-04-01,0.013605872674345019,99.0,84.0,32.0,44.0,171.0,1999,4,0
1999-05-01,0.018343136277539626,150.0,165.0,53.0,79.0,289.0,1999,5,0
1999-06-01,0.01636911884363184,139.0,145.0,58.0,70.0,272.0,1999,6,1
1999-07-01,0.02123044260857525,174.0,225.0,61.0,84.0,376.0,1999,7,1
1999-08-01,0.017235039985292765,145.0,161.0,69.0,84.0,291.0,1999,8,1
1999-09-01,0.02356047021318988,132.0,263.0,78.0,71.0,402.0,1999,9,0
1999-10-01,0.018271812964035596,148.0,134.0,65.0,92.0,255.0,1999,10,0
1999-11-01,0.016481529320588995,144.0,135.0,40.0,89.0,230.0,1999,11,0
1999-12-01,0.01938512086364703,151.0,184.0,78.0,154.0,259.0,1999,12,0
2000-01-01,0.014767932489451477,121.0,125.0,41.0,108.0,179.0,2000,1,0
2000-02-01,0.013144180660104227,89.0,101.0,37.0,76.0,151.0,2000,2,0
2000-03-01,0.015005288207297726,96.0,99.0,32.0,64.0,163.0,2000,3,0
2000-04-01,0.016966879721092388,134.0,130.0,28.0,60.0,232.0,2000,4,0
2000-05-01,0.01564280534548845,123.0,140.0,39.0,70.0,232.0,2000,5,0
2000-06-01,0.015326022117193595,142.0,157.0,35.0,68.0,266.0,2000,6,1
2000-07-01,0.017783101446604624,149.0,208.0,29.0,65.0,321.0,2000,7,1
2000-08-01,0.017428992991516047,158.0,184.0,36.0,93.0,285.0,2000,8,1
2000-09-01,0.016461870368633336,147.0,179.0,25.0,104.0,247.0,2000,9,0
2000-10-01,0.013743519514819525,135.0,117.0,29.0,72.0,209.0,2000,10,0
2000-11-01,0.013603306649924136,118.0,108.0,34.0,79.0,181.0,2000,11,0
2000-12-01,0.013651098023101858,109.0,157.0,33.0,147.0,152.0,2000,12,0
2001-01-01,0.013038548752834467,78.0,101.0,51.0,98.0,132.0,2001,1,0
2001-02-01,0.016239666998886088,110.0,92.0,75.0,107.0,170.0,2001,2,0
2001-03-01,0.012589512589512589,81.0,100.0,37.0,53.0,165.0,2001,3,0
2001-04-01,0.01646403242147923,95.0,128.0,37.0,32.0,228.0,2001,4,0
2001-05-01,0.015770042194092827,130.0,112.0,57.0,48.0,251.0,2001,5,0
